date,jobs,industry
2021-07-24,308,Graduate
2021-07-24,11363,Trade & Construction
2021-07-24,21378,Healthcare & Nursing
2021-07-24,7237,Retail
2021-07-24,85,Travel
2021-07-24,4229,Logistics & Warehouse
2021-07-24,4355,Teaching
2021-07-25,6363,Hospitality & Catering
2021-07-25,299,Graduate
2021-07-25,11694,Trade & Construction
2021-07-25,20938,Healthcare & Nursing
2021-07-25,7074,Retail
2021-07-25,62,Travel
2021-07-25,4258,Logistics & Warehouse
2021-07-25,4316,Teaching
2021-07-26,6330,Hospitality & Catering
2021-07-26,423,Graduate
2021-07-26,11413,Trade & Construction
2021-07-26,20483,Healthcare & Nursing
2021-07-26,6967,Retail
2021-07-26,80,Travel
2021-07-26,1725,Logistics & Warehouse
2021-07-26,4134,Teaching
2021-07-27,6361,Hospitality & Catering
2021-07-27,225,Graduate
2021-07-27,11476,Trade & Construction
2021-07-27,20758,Healthcare & Nursing
2021-07-27,7194,Retail
2021-07-27,85,Travel
2021-07-27,4222,Logistics & Warehouse
2021-07-27,4713,Teaching
